driver_number,best_lap,avg_lap,avg_st_speed,max_st_speed,avg_i1_speed,avg_i2_speed,laps_count,session_key
2,81.456,125.112,284.811320754717,325.0,263.62264150943395,291.80357142857144,57,7787
4,81.173,157.9715344827586,278.8363636363636,318.0,251.05357142857142,277.17241379310343,58,7787
10,80.995,125.06760714285714,282.4186046511628,322.0,253.46511627906978,287.48214285714283,57,7787
11,80.235,158.41394736842105,278.08,317.0,252.1086956521739,282.7758620689655,58,7787
14,80.476,157.92218965517242,271.05555555555554,311.0,252.49019607843138,271.5344827586207,59,7787
16,,,243.0,243.0,,,1,7787
18,80.934,157.9616551724138,281.92452830188677,319.0,251.07692307692307,277.62068965517244,58,7787
20,81.685,108.3633846153846,284.2826086956522,316.0,260.06382978723406,289.7307692307692,53,7787
21,81.183,125.107375,273.94444444444446,310.0,250.49019607843138,278.8392857142857,57,7787
22,81.789,158.01222413793104,280.05357142857144,318.0,241.47826086956522,274.2931034482759,58,7787
23,83.349,103.03633333333333,243.42857142857142,301.0,252.85714285714286,257.3333333333333,7,7787
24,81.819,158.00793103448274,277.01851851851853,315.0,246.52083333333334,279.08620689655174,58,7787
27,81.124,157.99291379310344,277.24074074074076,314.0,250.33928571428572,280.98275862068965,58,7787
31,81.203,125.09164285714284,278.1190476190476,311.0,245.43478260869566,282.05357142857144,57,7787
44,80.613,157.9120517241379,268.8867924528302,309.0,253.66071428571428,269.2586206896552,59,7787
55,80.467,157.9365,279.531914893617,321.0,251.9814814814815,275.51724137931035,58,7787
63,82.68,158.6505294117647,259.94117647058823,300.0,238.625,262.94117647058823,18,7787
77,82.233,158.38119298245613,271.22,310.0,247.3265306122449,271.63793103448273,58,7787
81,81.335,158.00070689655175,279.52830188679246,325.0,246.16666666666666,273.0344827586207,58,7787
1,104.232,109.11625490196079,314.7450980392157,325.0,202.44444444444446,213.31372549019608,51,9070
2,106.501,111.0543725490196,317.03921568627453,328.0,187.95555555555555,199.45098039215685,51,9070
4,105.738,110.65027450980392,314.9019607843137,325.0,188.10416666666666,200.23529411764707,51,9070
10,105.54,110.8651568627451,314.54901960784315,327.0,192.74468085106383,209.4313725490196,51,9070
11,104.589,109.07413725490196,311.5882352941176,324.0,201.6086956521739,208.1764705882353,51,9070
14,104.241,109.50621568627452,315.5686274509804,326.0,201.3877551020408,209.13725490196077,51,9070
16,104.561,109.49074509803923,311.29411764705884,324.0,203.69565217391303,209.3921568627451,51,9070
18,105.627,110.08731372549019,316.1372549019608,325.0,195.3877551020408,206.31372549019608,51,9070
20,105.85,110.83478431372548,318.84313725490193,329.0,195.53061224489795,206.15686274509804,51,9070
21,108.781,110.66744444444444,322.22222222222223,324.0,183.4,198.0,10,9070
22,105.727,110.71941176470587,314.27450980392155,329.0,196.14893617021278,204.7450980392157,51,9070
23,105.925,110.8121568627451,315.4901960784314,335.0,185.58,199.19607843137254,51,9070
24,107.553,112.85525000000001,311.1111111111111,324.0,186.6060606060606,198.63888888888889,37,9070
27,106.731,111.21938775510205,317.78,327.0,193.3673469387755,201.66,50,9070
31,105.908,110.75458,313.19607843137254,326.0,192.5744680851064,206.37254901960785,51,9070
44,105.346,109.9792156862745,315.1764705882353,335.0,192.27272727272728,208.31372549019608,51,9070
55,105.175,109.96690196078431,312.84313725490193,325.0,204.08510638297872,205.98039215686273,51,9070
63,103.37,110.53062745098039,313.8627450980392,326.0,190.51111111111112,205.2549019607843,51,9070
77,106.304,111.63792,312.1,322.0,197.20833333333334,204.56,50,9070
81,105.631,110.77080392156863,312.6862745098039,327.0,191.69565217391303,202.09803921568627,51,9070
